status,customer,ttspl,serial,sheet_rent,crm_amount,diff
AMOUNT_DIFF,SPNN BUSINESS SERVICES PRIVATE LIMITED,TTSPL7290,7DPSVZ2,2091.94,2941.94,-850
AMOUNT_DIFF,SPNN BUSINESS SERVICES PRIVATE LIMITED,TTSPL3592,PC112MD8,1550,2800,-1250
AMOUNT_DIFF,SPNN BUSINESS SERVICES PRIVATE LIMITED,TTSPL6628,2PYYJG3,1900,3432.26,-1532.26
AMOUNT_DIFF,SPNN BUSINESS SERVICES PRIVATE LIMITED,TTSPL6656,5DQM763,2850,50,2800
ON_SHEET_NOT_IN_CRM,SPNN BUSINESS SERVICES PRIVATE LIMITED,TTSPL7123,C077YZ2,2150,,2150
ON_SHEET_NOT_IN_CRM,SHINENPRIME HEALTHCARE PRIVATE LIMITED,TTSPL6676-A,3T2FL13,999,,999
AMOUNT_DIFF,IN KNOW TECH PRIVATE LIMITED,TTSPL4338,PF2R3K6T,2500,3709.68,-1209.68
AMOUNT_DIFF,Maxlence Digital (OPC) Private Limited,TTSPL4614,DV4FYD3,2750,4258.06,-1508.06
AMOUNT_DIFF,QUREX HEALTH PRIVATE LIMITED,TTSPL3933,15JBSQ2,1399,2121.06,-722.06
AMOUNT_DIFF,QUREX HEALTH PRIVATE LIMITED,TTSPL3944,D066QN2,1399,2121.06,-722.06
AMOUNT_DIFF,MANTARAV PRIVATE LIMITED,TTSPL2741,YGQHPGDH64,5399,7314.77,-1915.77
AMOUNT_DIFF,Khelo Tech and Strategy Pvt Ltd,TTSPL7495,2TK2460C36,2599,2934.35,-335.35
AMOUNT_DIFF,Khelo Tech and Strategy Pvt Ltd,TTSPL7378,2TK2460D19,2599,2934.35,-335.35
AMOUNT_DIFF,Khelo Tech and Strategy Pvt Ltd,TTSPL7523,3TT22F3,1799,2031.13,-232.13
AMOUNT_DIFF,Khelo Tech and Strategy Pvt Ltd,TTSPL7533,FXKM5M3,1799,2031.13,-232.13
AMOUNT_DIFF,Khelo Tech and Strategy Pvt Ltd,TTSPL7545,2TK2460BXR,2599,3185.87,-586.87
AMOUNT_DIFF,Khelo Tech and Strategy Pvt Ltd,TTSPL7546,2TK2500DB6,2599,3185.87,-586.87
AMOUNT_DIFF,Khelo Tech and Strategy Pvt Ltd,TTSPL7547,2TK250084V,2599,3185.87,-586.87
AMOUNT_DIFF,Khelo Tech and Strategy Pvt Ltd,TTSPL7548,2TK24908FZ,2599,2934.35,-335.35
AMOUNT_DIFF, CoreOps.AI,TTSPL7512,G9YY6YCQHP,12999,14256.97,-1257.97
ON_SHEET_NOT_IN_CRM,INNOVA ESI PRIVATE LIMITED,TTSPL7448,GWFS2M3,1,,1
AMOUNT_DIFF,PARTS AVATAR INDIA PRIVATE LIMITED,TTSPL3268,36CC2X2,3750,1250,2500
AMOUNT_DIFF,PARTS AVATAR INDIA PRIVATE LIMITED,TTSPL4640,3RRPBK3,8129.03,5129.03,3000
