sheet_client_name,crm_customer_id,crm_customer_name,invoice_number,sheet_active_assets,sheet_rent_total,crm_invoice_subtotal,rent_diff_sheet_minus_crm,matched_assets,sheet_not_in_crm,amount_mismatch_assets,aligned
The Class One/ Inventify Edtech solution Pvt. Ltd,230,The Class One/ Inventify Edtech solution Pvt. Ltd,INV-0704,13,17280.64,18451.61,-1170.97,13,0,1,NO
Easy Fix Handy Solutions India Private Limited,141,Easy Fix Handy Solutions India Private Limited,INV-0654,26,37199,38328.03,-1129.03,26,0,1,NO
MANNA BIOTECH PRIVATE LIMITED,38,MANNA BIOTECH PRIVATE LIMITED,INV-0580,1,2118,3217,-1099,1,0,0,NO
ELYSIUM LABS PRIVATE LIMITED,127,Elysium Labs Pvt Ltd,INV-0643,24,47235.61,48299.42,-1063.81,23,1,1,NO
COSMOFEED TECHNOLOGIES PRIVATE LIMITED,111,COSMOFEED TECHNOLOGIES PVT LTD,INV-0630,41,88753.45,89752.45,-999,41,0,0,NO
Inaya Reality,34,Inaya Realty,INV-0577,3,5397,6396,-999,3,0,0,NO
Shreyas Management Consulting Services,76,Shreyas Management Consulting Services,INV-0606,12,21188,22174.52,-986.52,12,0,1,NO
BIZDATEUP TECHNOLOGIES PRIVATE LIMITED,232,BIZDATEUP TECHNOLOGIES PRIVATE LIMITED,INV-0706,23,27248,28027.03,-779.03,23,0,1,NO
ZYKRR TECHNOLOGIES PRIVATE LIMITED,242,ZYKRR TECHNOLOGIES PRIVATE LIMITED,INV-0711,38,99653.59,100406.62,-753.03,37,1,6,NO
Road Express Technology Pvt. Ltd.,66,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,INV-0601,19,20900,21599,-699,19,0,0,NO
BPB ONLINE LLP,47,BPB Online LLP,INV-0586,20,36578,35881.62,696.38,20,0,4,NO
SLEEP MANAGEMENT PRIVATE LIMITED,41,SLEEP MANAGEMENT PRIVATE LIMITED(New),INV-0582,95,207548.35,207790.44,-242.09,94,1,2,NO
DIGITAL NIRVANA INFORMATION SYSTEMS INDIA PRIVATE LIMITED,30,Digital Nirvana Information Systems Pvt Ltd,INV-0575,11,28234.92,28302.63,-67.71,11,0,1,NO
ClickOnik Digital Media Pvt Ltd,139,Clickonik Digital Private Limited,INV-0652,2,3404.32,3455.9,-51.58,2,0,1,NO
Abjayon Consultancy Pvt. Ltd.,206,ABJAYON CONSULTANCY PRIVATE LIMITED,INV-0689,27,54952,54953.45,-1.45,26,1,0,NO
INNOVA ESI PRIVATE LIMITED,74,INNOVA ESI PRIVATE LIMITED,,1,1,0,1,0,1,0,NO
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,INV-0625,28,56797.16,56797.16,0,28,0,0,YES
E N COMMUNICATION PRIVATE LIMITED,104,E N COMMUNICATION PRIVATE LIMITED,INV-0624,10,17990,17990,0,10,0,0,YES
SELECTASTRO PRIVATE LIMITED,107,SelectAstro Private Limited,INV-0627,23,72451,72451,0,23,0,0,YES
Tagbin Services Pvt. Ltd,1,Tagbin Services Pvt Ltd,INV-0551,37,113167,113167,0,37,0,0,YES
V6 SKIN CLINIC PRIVATE LIMITED,2,V6 SKIN CLINIC PRIVATE LIMITED,INV-0552,5,11895,11895,0,5,0,0,YES
AGILE VENTURES PRIVATE LIMITED,110,AGILE VENTURES PRIVATE LIMITED,INV-0629,1,1999,1999,0,1,0,0,YES
Trailytics Global Services Private Limited,10,Trailytics Global Services Private Limited,INV-0559,8,22583,22583,0,8,0,0,YES
CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,113,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,INV-0632,17,33079.38,33079.38,0,17,0,0,YES
SAATHI WORLDAPP PRIVATE LIMITED,15,SAATHI WORLDAPP PRIVATE LIMITED,INV-0562,4,6000,6000,0,4,0,0,YES
VALENTA KPO PRIVATE LIMITED,16,VALENTA KPO PRIVATE LIMITED,INV-0563,7,15893,15893,0,7,0,0,YES
TSCX CONSULTING PRIVATE LIMITED,49,TSCX CONSULTING PRIVATE LIMITED,INV-0588,1,4299,4299,0,1,0,0,YES
BLUEJAY WORKTECH PRIVATE LIMITED,117,BLUEJAY WORKTECH PRIVATE LIMITED,INV-0634,24,36078,36078,0,24,0,0,YES
WedMeGood,57,WedMeGood,INV-0595,1,4999,4999,0,1,0,0,YES
ATTITUDE EVENETS PRIVATE LIMITED,115,ATTITUDE EVENTS PRIVATE LIMITED,INV-0633,20,35834.68,35834.68,0,20,0,0,YES
Tekuncorked Aiiot Private Limited,56,Tekuncorked Aiiot Private Limited,INV-0594,23,55576.81,55576.81,0,23,0,0,YES
VINCIT TECHNOLOGIES PVT LTD,112,VINCIT TECHNOLOGIES PVT LTD,INV-0631,2,3498,3498,0,1,1,0,NO
OEX TECH SOLUTION PVT. LTD,53,OEX TECH SOLUTION PVT. LTD,INV-0592,23,59677,59677,0,23,0,0,YES
EPIC (INDIA) TOURS AND EVENTS PRIVATE LIMITED,119,EPIC (INDIA) TOURS AND EVENTS PRIVATE LIMITED,INV-0636,12,32562.68,32562.68,0,12,0,0,YES
EasyRewardz Software Services Private Limited,158,EasyRewardz Software Services Private Limited,INV-0666,26,39649,39649,0,26,0,0,YES
Wellbeing/NUTRITIONALAB PRIVATE LIMITED,22,NUTRITIONALAB PRIVATE LIMITED,INV-0567,51,230197.78,230197.78,0,51,0,0,YES
RISK EDUCATORS PRIVATE LIMITED,21,RISK EDUCATORS PRIVATE LIMITED,INV-0566,1,5299,5299,0,1,0,0,YES
WSB Projects Pvt. Ltd,70,WSB PROJECTS PRIVATE LIMITED,INV-0603,8,13112.9,13112.9,0,8,0,0,YES
REYKLE INDIA PRIVATE LIMITED,65,REYKLE INDIA PRIVATE LIMITED,INV-0600,13,51691,51691,0,13,0,0,YES
RENCOMM TELE SERVICES LLP,99,RENCOMM TELE SERVICES LLP,INV-0622,4,4796,4796,0,4,0,0,YES
Digeesell Media Solutions Pvt Ltd,60,DIGEESELL MEDIA SOLUTIONS PRIVATE LIMITED,INV-0596,3,5147,5147,0,3,0,0,YES
SGATE Tech Solutions Private Limited,89,SGATE TECH SOLUTIONS PRIVATE LIMITED,INV-0616,8,15682.06,15682.06,0,8,0,0,YES
Wick Automation LLP,93,WICK AUTOMATION LLP,INV-0620,9,14242.58,14242.58,0,9,0,0,YES
NECTAR INFOTEL SOLUTIONS PRIVATE LIMITED,87,NECTAR INFOTEL SOLUTIONS PRIVATE LIMITED,INV-0614,7,7893,7893,0,7,0,0,YES
PINNACLEWORKS INFOTECH PRIVATE LIMITED,27,PINNACLEWORKS INFOTECH PRIVATE LIMITED,INV-0572,8,15397,15397,0,8,0,0,YES
AA Consultants,124,AA Consultant,INV-0640,1,1600,1600,0,1,0,0,YES
KV HUMAN RESOURCES SERVICES PRIVATE LIMITED,51,KV HUMAN RESOURCES SERVICES PRIVATE LIMITED,INV-0590,1,1249,1249,0,1,0,0,YES
TripHunter In,69,Trip Hunter,INV-0602,9,16191,16191,0,9,0,0,YES
SPRINGWEL MATTRESSES PRIVATE LIMITED,218,SPRINGWELL MATTRESSES PRIVATE LIMITED,INV-0696,1,1499,1499,0,1,0,0,YES
B2C (Pranshu Sharma),224,B2C (Pranshu Sharma),INV-0700,1,2966,2966,0,1,0,0,YES
RAK FITNESS CONSUMER PRIVATE LIMITED,64,RAK Fitness Consumer Private Limited,INV-0599,13,49091,49091,0,13,0,0,YES
86 AGENCY,128,86 AGENCY,INV-0644,5,9995,9995,0,5,0,0,YES
24X7 STORE PRIVATE LIMITED,24,24X7 STORE PRIVATE LIMITED,INV-0569,5,7496,7496,0,5,0,0,YES
ISCREENING SERVICES PRIVATE LIMITED,35,ISCREENING SERVICES PRIVATE LIMITED,INV-0578,6,5994,5994,0,6,0,0,YES
TRIPOCLAN TRAVEL PRIVATE LIMITED,45,TRIPOCLAN TRAVEL PRIVATE LIMITED,INV-0585,12,22289,22289,0,12,0,0,YES
Aim Plus Staffing Solutions,130,Aim Plus Staffing Solutions,INV-0646,8,13679,13679,0,8,0,0,YES
Power Parts Pvt. Ltd,75,Power Parts Pvt. Ltd.,INV-0605,2,4789,4789,0,2,0,0,YES
Realvibe digital media pvt. Ltd.,82,RealVibe digital media pvt ltd,INV-0611,2,9598,9598,0,2,0,0,YES
BROWN ALLIGATOR,132,BROWN ALLIGATOR,INV-0648,1,1699,1699,0,1,0,0,YES
Beom Commerce Private Limited,131,Beom Commerce Private Limited,INV-0647,8,11027.42,11027.42,0,8,0,0,YES
SARTHHAKAI PRIVATE LIMITED,39,SARTHHAKAI PRIVATE LIMITED,INV-0581,5,28986,28986,0,5,0,0,YES
DASH AST TECHNOLOGY LLP,140,DASH AST TECHNOLOGY LLP,INV-0653,2,1998,1998,0,2,0,0,YES
Techsur Solutions Private Limited/Naraharisetty Bobby B2C,90,TECHSUR INNOVATIONS PRIVATE LIMITED,INV-0617,14,48407.23,48407.23,0,14,0,0,YES
TOWN CONTACTS TECHNOLOGIES PRIVATE LIMITED,91,Town Contact Technologies Private Limited,INV-0618,12,23488,23488,0,12,0,0,YES
Aksum Trademart Pvt Ltd,135,AKSUM TRADEMART PRIVATE LIMITED,INV-0649,8,16173.42,16173.42,0,8,0,0,YES
Ritu David Consulting/Data Duck,88,RITU DAVID CONSULTING,INV-0615,13,74845.19,74845.19,0,13,0,0,YES
RASAYANAM NUTRIPHARM PRIVATE LIMITED,81,RASAYANAM NUTRIPHARM PRIVATE LIMITED,INV-0610,1,4999,4999,0,1,0,0,YES
DELPHI INFOTECH PRIVATE LIMITED,78,DELPHI INFOTECH PRIVATE LIMITED,INV-0607,1,1399,1399,0,1,0,0,YES
Enhanced WAPP Systems (I) Pvt Ltd.,142,ENHANCED WAPP SYSTEMS INDIA PRIVATE LIMITED (HR),INV-0655,1,2499,2499,0,1,0,0,YES
Dipanshu Mutreja & Associates,147,Dipanshu Mutreja,INV-0659,1,1999,1999,0,1,0,0,YES
Stefen Electric Pvt Ltd,84,STEFEN ELECTRIC PRIVATE LIMIED,INV-0612,5,4995,4995,0,5,0,0,YES
TENSOR LOGISTICS PRIVATE LIMITED,85,TENSOR LOGISTICS PRIVATE LIMITED,INV-0613,8,12093,12093,0,8,0,0,YES
RANGREZA RETAIL SERVICES PRIVATE LIMITED,80,Rangreza Retail Services Pvt Ltd,INV-0609,4,10947,10947,0,4,0,0,YES
Accelerate Media Private Limited,144,Accelerate Media Private Limited,INV-0657,1,1799,1799,0,1,0,0,YES
GODASH SOLUTIONS PRIVATE LIMITED,100,GODASH SOLUTIONS PRIVATE LIMITED,INV-0623,10,18531.32,18531.32,0,10,0,0,YES
GRUNMECH TECHNOLOGIES PRIVATE LIMITED,23,GRUNMECH TECHNOLOGIES PRIVATE LIMITED,INV-0568,13,35087,35087,0,13,0,0,YES
Global Fashion Off Duty Limited,156,Global Fashion Off Duty Limited,INV-0664,24,56673.32,56673.32,0,24,0,0,YES
All India Asian Educational Foundation,154,ALL INDIA ASIAN EDUCATIONAL FOUNDATION,INV-0663,20,31980,31980,0,20,0,0,YES
ELEVONDATA LABS PRIVATE LIMITED,161,ELEVONDATA LABS PRIVATE LIMITED,INV-0668,9,22091,22091,0,9,0,0,YES
OLA,160,OLA,INV-0667,4,4,4,0,4,0,0,YES
Hostbooks limited,168,Hostbooks limited,INV-0671,24,52376,52376,0,24,0,0,YES
MERITSHOT ZETTA EDUTECH PRIVATE LIMITED,167,MERITSHOT ZETTA EDUTECH PRIVATE LIMITED,INV-0670,1,5999,5999,0,1,0,0,YES
Technians Softech Pvt.Ltd,219,Technians Softech Pvt.Ltd,INV-0697,6,17237.31,17237.31,0,6,0,0,YES
Goolean Technologies Pvt Ltd,220,GOOLEAN TECHNOLOGIES PRIVATE761976109 LIMITED,INV-0698,7,15704.32,15704.32,0,7,0,0,YES
OPERISOFT TECHNOLOGIES PRIVATE LIMITED,193,OPERISOFT TECHNOLOGIES PRIVATE LIMITED,INV-0679,5,9995,9995,0,5,0,0,YES
Auraa Coordination & Productions Pvt Ltd,222,Auraa Coordination & Productions Pvt Ltd,INV-0699,3,4797,4797,0,3,0,0,YES
AWL India Private Limited,177,AWL India Private Limited,INV-0672,5,7000,7000,0,5,0,0,YES
DELFIN TECHNOLOGIES INDIA PRIVATE LIMITED,192,DELFIN TECHNOLOGIES INDIA PRIVATE LIMITED,INV-0678,9,37991,37991,0,9,0,0,YES
EXIMPLE TECHNOLOGIES PRIVATE LIMITED,195,EXIMPLE TECHNOLOGIES PRIVATE LIMITED,INV-0680,7,11194,11194,0,7,0,0,YES
Biodeal Pharmaceuticals Limited,183,BIODEAL PHARMACEUTICALS LIMITED,INV-0676,50,75945,75945,0,49,1,0,NO
MERVICE INFOTECH PRIVATE LIMITED,196,MERVICE INFOTECH PRIVATE LIMITED,INV-0681,19,33854.97,33854.97,0,19,0,0,YES
INFISWIFT TECHNOLOGIES PRIVATE LIMITED,197,INFISWIFT TECHNOLOGIES PRIVATE LIMITED,INV-0682,1,3099,3099,0,1,0,0,YES
SBNRI TECHNOLOGIES PRIVATE LIMITED,217,SBNRI TECHNOLOGIES PRIVATE LIMITED (HR),INV-0695,4,10098,10098,0,4,0,0,YES
CDBASE SOLUTIONS INDIA PRIVATE LIMITED,203,CDBASE SOLUTIONS INDIA PRIVATE LIMITED,INV-0686,25,52475,52475,0,25,0,0,YES
BIOSKY SPACE INNOVATIONS PRIVATE LIMITED,199,BIOSKY SPACE INNOVATIONS PRIVATE LIMITED,INV-0684,4,16696,16696,0,4,0,0,YES
TRUE BUSINESS MINDS PRIVATE LIMITED,204,TRUE BUSINESS MINDS PRIVATE LIMITED,INV-0687,14,12600,12600,0,14,0,0,YES
FLights Mojo Bookings Private Limited,205,Flights Mojo Bookings Private Limited,INV-0688,1,6000,6000,0,1,0,0,YES
IIOT INNOVATION Private Limited,214,IIOT INNOVATION PRIVATE LIMITED,INV-0693,11,22117.97,22117.97,0,11,0,0,YES
SINGULARITY GAMES PRIVATE LIMITED,216,SINGULARITY GAMES PRIVATE LIMITED,INV-0694,4,16944.13,16944.13,0,4,0,0,YES
