customerName,totalActive,totalPrice,sheetPrice,sheetActive,status
SHINENPRIME HEALTHCARE PRIVATE LIMITED,19,21952.76,21952.74,19,Matched
Shreyas Management Consulting Services,12,21188,21188,12,Matched
SINGULARITY GAMES PRIVATE LIMITED,4,16944.13,16944.13,4,Matched
SLEEP MANAGEMENT PRIVATE LIMITED(New),95,207548.35,207548.35,95,Matched
SOM PRO FACILITIES INDIA PRIVATE LIMITED,5,6745,6745,5,Matched
SPNN BUSINESS SERVICES PRIVATE LIMITED,84,154843.17,154843.17,84,Matched
SPRINGWELL MATTRESSES PRIVATE LIMITED,1,1499,1499,1,Matched
STEFEN ELECTRIC PRIVATE LIMIED,5,4995,4995,5,Matched
Sturmfrei Hospitality Pvt. Ltd,5,16495,16495,5,Matched
Stylework Innovation Hub Pvt Ltd.,23,50277,50277,23,Matched
SUKHMAA SONS AND ASSOCIATES,18,21843.28,21842.32,18,Matched
Synergie Network Engineering India Pvt Ltd,36,73064,73064,36,Matched
SYNERGY SOFTWARES LIMITED,4,6550,6550,4,Matched
Tagbin Services Pvt Ltd,37,113167,113167,37,Matched
Talent Skillsvarsity Private Limited,2,2034,2034,2,Matched
Technians Softech Pvt.Ltd,6,17237.31,17237.32,6,Matched
TECHSUR INNOVATIONS PRIVATE LIMITED,15,49697.55,49697.55,15,Matched
Tekuncorked Aiiot Private Limited,23,55576.81,55576.81,23,Matched
TENSOR LOGISTICS PRIVATE LIMITED,8,12093,12093,8,Matched
The Class One/ Inventify Edtech solution Pvt. Ltd,14,18380.64,18380.65,14,Matched
Town Contact Technologies Private Limited,12,23488,23488,12,Matched
Trailytics Global Services Private Limited,8,22583,22583,8,Matched
Transcending Horizons Private Limited,1,999,999,1,Matched
Trip Hunter,9,16191,16191,9,Matched
TRIPOCLAN TRAVEL PRIVATE LIMITED,12,22289,22289,12,Matched
TRUE BUSINESS MINDS PRIVATE LIMITED,14,12600,12600,14,Matched
TSCX CONSULTING PRIVATE LIMITED,1,4299,4299,1,Matched
United precision Cast,1,1700,1700,1,Matched
Upila Digital,12,34924.35,34924.35,12,Matched
URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,42,40558,40558,42,Matched
V6 SKIN CLINIC PRIVATE LIMITED,5,11895,11895,5,Matched
Vaatun Technologies Private Limited,1,3500,3500,1,Matched
VALENTA KPO PRIVATE LIMITED,7,15893,15893,7,Matched
VINCIT TECHNOLOGIES PVT LTD,2,3498,3498,2,Matched
VIRALCURRY DIGITAL PRIVATE LIMITED,8,11206.45,11206.45,8,Matched
WedMeGood,1,4999,4999,1,Matched
WICK AUTOMATION LLP,9,14242.58,14242.58,9,Matched
WSB PROJECTS PRIVATE LIMITED,8,13112.9,13112.9,8,Matched
XSKY LOUNGE HOSPITALITY PRIVATE LIMITED,1,2899,2899,1,Matched
Youbooks Edtech India Pvt. Ltd.,7,7894,7894,7,Matched
ZENITHIA GARDEN OF JOY PRIVATE LIMITED,1,1399,1399,1,Matched
ZYKRR TECHNOLOGIES PRIVATE LIMITED,38,99653.59,99653.58,38,Matched
