serial_id,ttspl_id,serial_number,customer_id,customer_name,desired_rent_start,desired_rate,sheet_rent,crm_amount,amt_delta,current_status,current_customer,current_rent_start,current_rate,issues
7514,TTSPL5018,T4NRCX04T811186,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,3999,3999,3999,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->3999
7520,TTSPL5024,T4NRCX04P65618B,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,3999,3999,3999,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->3999
7547,TTSPL5051,T4NRCX03L43517B,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,3999,3999,3999,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->3999
7319,TTSPL4822,B2Y60J3,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2850,2850,2850,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->2850
7236,TTSPL4738,JM970J3,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2849,2849,2849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->2849
7840,TTSPL5523,D9H236561M,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,3999,3999,4999,-1000,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->3999
8056,TTSPL6204,T7NRCX06263530G,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,3999,3999,3999,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->3999
8091,TTSPL6248,T9NRCX03V222386,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,3999,3999,3999,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->3999
6929,TTSPL4427,MW6GFXVN62,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,4999,4999,4999,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->4999
7126,TTSPL4626,J9Z2BC3,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2849,2849,2849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->2849
7844,TTSPL5527,T7NRCX02X17029H,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,3999,3999,3999,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->3999
7165,TTSPL4667,9T1N3F3,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2849,2849,2849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->2849
2545,TTSPL6312,C6PXVM3,1,Tagbin Services Pvt Ltd,2026-08-01,2899,2899,0,2899,rented,1,,2899.00,rent_start_null
1371,TTSPL4604,91RH2F3,25,Synergie Network Engineering India Pvt Ltd,2026-08-01,2499,2499,4272.48,-1773.48,rented,25,2026-07-10,2499.00,AMOUNT_DIFF_ONLY
8729,TTSPL3018,884BKC2,152,Dotnova Aitech Private Limited,2026-01-06,1149,9006.68,1149,7857.68,rented,152,2026-01-06,1149.00,AMOUNT_DIFF_ONLY
8440,TTSPL7524,9NZH7C3,8,PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED,2026-07-27,1999,2321.42,2127.97,193.45,rented,8,2026-07-30,1999.00,rent_start 2026-07-30->2026-07-27|rent_start_earlier 2026-07-30->2026-07-27
8717,TTSPL7552,JNCM1J3,8,PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED,2026-08-02,1999,1934.52,0,1934.52,rented,8,2026-08-03,1999.00,rent_start 2026-08-03->2026-08-02|rent_start_earlier 2026-08-03->2026-08-02
8724,TTSPL7559,2HLG7C3,8,PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED,2026-08-02,1999,1934.52,0,1934.52,rented,8,2026-08-03,1999.00,rent_start 2026-08-03->2026-08-02|rent_start_earlier 2026-08-03->2026-08-02
1142,TTSPL3894,GX52MQ2,9,Quest Solutions Private Limited,2026-08-01,1299,1299,1449,-150,rented,9,2026-02-06,1449.00,rate 1449.00->1299
7215,TTSPL4717,PF31NC8P,9,Quest Solutions Private Limited,2026-08-01,2199,2199,2199,0,in_stock,,,,status=in_stock|customer null->9|ttspl_null|ttspl_set|rent_start_null|rate null->2199
7425,TTSPL4929,PC164BDV,9,Quest Solutions Private Limited,2026-08-01,1449,1449,1449,0,in_stock,,,,status=in_stock|customer null->9|ttspl_null|ttspl_set|rent_start_null|rate null->1449
7353,TTSPL4857,5J2WZ33,9,Quest Solutions Private Limited,2026-08-01,1999,1999,1999,0,in_stock,,,,status=in_stock|customer null->9|ttspl_null|ttspl_set|rent_start_null|rate null->1999
7913,TTSPL6049,5CD112LTT7,9,Quest Solutions Private Limited,2026-08-01,2099,2099,2099,0,in_stock,,,,status=in_stock|customer null->9|ttspl_null|ttspl_set|rent_start_null|rate null->2099
7915,TTSPL6052,5CD112KFGH,9,Quest Solutions Private Limited,2026-08-01,2099,2099,2099,0,in_stock,,,,status=in_stock|customer null->9|ttspl_null|ttspl_set|rent_start_null|rate null->2099
8209,TTSPL7445,2CBLPN3,9,Quest Solutions Private Limited,2026-07-20,2099,2911.52,0,2911.52,rented,9,2026-07-20,2099.00,AMOUNT_DIFF_ONLY
8726,TTSPL7561,7WRJZH3,9,Quest Solutions Private Limited,2026-07-30,2099,2234.42,1713.05,521.37,rented,9,2026-07-30,1609.23,rate 1609.23->2099
536,TTSPL1654/TRU1386,PC0C78EP,7,PEOPLE STAFFING SOLUTIONS,2026-08-01,999,999,0,999,rented,7,2026-02-06,999.00,ttspl_set
7258,TTSPL4760,377F1J3,113,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,2026-08-01,1999,1999,1999,0,in_stock,,,,status=in_stock|customer null->113|ttspl_null|ttspl_set|rent_start_null|rate null->1999
7435,TTSPL4939,54GVZH3,113,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,2026-08-01,1999,1999,1999,0,in_stock,,,,status=in_stock|customer null->113|ttspl_null|ttspl_set|rent_start_null|rate null->1999
7244,TTSPL4746,47T50J3,113,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,2026-08-01,1999,1999,1999,0,in_stock,,,,status=in_stock|customer null->113|ttspl_null|ttspl_set|rent_start_null|rate null->1999
7297,TTSPL4800,32C60J3,113,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,2026-08-01,1999,1999,1999,0,in_stock,,,,status=in_stock|customer null->113|ttspl_null|ttspl_set|rent_start_null|rate null->1999
7308,TTSPL4811,GZTXZH3,113,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,2026-08-01,1999,1999,1999,0,in_stock,,,,status=in_stock|customer null->113|ttspl_null|ttspl_set|rent_start_null|rate null->1999
6828,TTSPL4326,PF2R3B1C,113,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,2026-08-01,1999,1999,1999,0,in_stock,,,,status=in_stock|customer null->113|ttspl_null|ttspl_set|rent_start_null|rate null->1999
1105,TTSPL4632,6CG08C3,113,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,2026-07-26,1999,2385.9,2127.97,257.93,rented,113,2026-07-30,1999.00,rent_start 2026-07-30->2026-07-26|rent_start_earlier 2026-07-30->2026-07-26
1648,TTSPL6842,5CG213208R,113,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,2026-07-26,1599,1908.48,1702.16,206.32,rented,113,2026-07-30,1599.00,rent_start 2026-07-30->2026-07-26|rent_start_earlier 2026-07-30->2026-07-26
