customer_name,sheet_client_name,customer_id,invoice_number,sheet_total_count,crm_total_count,count_diff,count_match,sheet_total_price,crm_invoice_price,price_diff,price_match,crm_catchup_count,crm_catchup_amount,sheet_catchup_count,matched_assets,missing_on_invoice_count,extra_on_invoice_count,missing_on_invoice,extra_on_invoice,aligned
DELFIN TECHNOLOGIES INDIA PRIVATE LIMITED,DELFIN TECHNOLOGIES INDIA PRIVATE LIMITED,192,INV-0755,9,9,0,YES,37991,37991,0,YES,0,0,0,9,0,0,,,YES
DELPHI INFOTECH PRIVATE LIMITED,DELPHI INFOTECH PRIVATE LIMITED,78,INV-0895,1,1,0,YES,1399,1399,0,YES,0,0,0,1,0,0,,,YES
DIGEESELL MEDIA SOLUTIONS PRIVATE LIMITED,Digeesell Media Solutions Pvt Ltd,60,INV-0761,3,3,0,YES,5147,5147,0,YES,0,0,0,3,0,0,,,YES
Digital Eco Innovision Private Limited,Digital Eco Innovision Private Limited,11,INV-0777,27,29,-2,NO,68471.84,72069.84,-3598,NO,1,241.84,1,27,0,2,,TTSPL2343|TTSPL3379,NO
Digital Nirvana Information Systems Pvt Ltd,DIGITAL NIRVANA INFORMATION SYSTEMS INDIA PRIVATE LIMITED,30,INV-0810,11,11,0,YES,28234.94,28302.63,-67.69,NO,4,5213.63,4,11,0,0,,,NO
Dipanshu Mutreja,Dipanshu Mutreja & Associates,147,INV-0790,1,1,0,YES,1999,1999,0,YES,0,0,0,1,0,0,,,YES
Dotnova Aitech Private Limited,Dotnova Aitech Private Limited,152,INV-0877,15,16,-1,NO,70248.13,63589.46,6658.67,NO,3,5302.46,3,15,0,1,,TTSPL3821,NO
DROR SERVICES PRIVATE LIMITED,DROR SERVICES PRIVATE LIMITED,185,INV-0918,19,20,-1,NO,33981,37398.65,-3417.65,NO,1,1418.65,0,19,0,1,,TTSPL3781,NO
E N COMMUNICATION PRIVATE LIMITED,E N COMMUNICATION PRIVATE LIMITED,104,INV-0821,10,10,0,YES,17990,17990,0,YES,0,0,0,10,0,0,,,YES
Easy Fix Handy Solutions India Private Limited,Easy Fix Handy Solutions India Private Limited,141,INV-0900,26,26,0,YES,37199,37199,0,YES,0,0,0,26,0,0,,,YES
EasyRewardz Software Services Private Limited,EasyRewardz Software Services Private Limited,158,INV-0860,26,26,0,YES,39649,39649,0,YES,0,0,0,26,0,0,,,YES
ELEVONDATA LABS PRIVATE LIMITED,ELEVONDATA LABS PRIVATE LIMITED,161,INV-0781,9,9,0,YES,22091,22091,0,YES,0,0,0,9,0,0,,,YES
Elysium Labs Pvt Ltd,ELYSIUM LABS PRIVATE LIMITED,127,INV-0771,24,24,0,YES,47235.61,47235.61,0,YES,2,757.61,2,23,1,1,TTSPL6671,TTSPL6671_A,YES
ENCUBATE TECH PRIVATE LIMITED,ENCUBATE TECH PRIVATE LIMITED,229,INV-0745,2,2,0,YES,5198,5198,0,YES,0,0,0,2,0,0,,,YES
ENHANCED WAPP SYSTEMS INDIA PRIVATE LIMITED (HR),Enhanced WAPP Systems (I) Pvt Ltd.,142,INV-0876,1,1,0,YES,2499,2499,0,YES,0,0,0,1,0,0,,,YES
EPIC (INDIA) TOURS AND EVENTS PRIVATE LIMITED,EPIC (INDIA) TOURS AND EVENTS PRIVATE LIMITED,119,INV-0785,12,12,0,YES,32562.68,32562.68,0,YES,1,167.68,1,12,0,0,,,YES
ERA BOTANICS PRIVATE LIMITED,Era Botanics private Limited,33,INV-0912,17,18,-1,NO,35570.58,37869.58,-2299,NO,1,1186.58,1,17,0,1,,TTSPL6320,NO
EVENTIVE COMMUNICATIONS LLP,EVENTIVE COMMUNICATIONS LLP,270,INV-0926,12,12,0,YES,29788,29788,0,YES,0,0,0,12,0,0,,,YES
EVERSOFT TECHNOLOGIES PRIVATE LIMITED,EVERSOFT TECHNOLOGIES PRIVATE LIMITED,251,INV-0817,10,11,-1,NO,11990,13189,-1199,NO,0,0,0,10,0,1,,TTSPL2016_B,NO
EXIMPLE TECHNOLOGIES PRIVATE LIMITED,EXIMPLE TECHNOLOGIES PRIVATE LIMITED,195,INV-0863,7,7,0,YES,11194,11194,0,YES,0,0,0,7,0,0,,,YES
EXOTALENT CONSULTANCY SERVICES LLP,EXOTALENT CONSULTANCY SERVICES LLP,182,INV-0911,4,3,1,NO,7238.97,5498,1740.97,NO,0,0,0,3,1,0,TTSPL7432,,NO
FLEET LABS TECHNOLOGIES PRIVATE LIMITED,FLEET LABS TECHNOLOGIES PRIVATE LIMITED (Apna Mart),94,INV-0901,188,189,-1,NO,502076.26,504575.24,-2498.98,NO,11,13214.24,11,187,1,2,TTSPL6984,TTSPL6984_A|TTSPL5116,NO
Flights Mojo Bookings Private Limited,FLights Mojo Bookings Private Limited,205,INV-0832,1,1,0,YES,6000,6000,0,YES,0,0,0,1,0,0,,,YES
Girish Srikrishna Paranjpe,Girish Srikrishna Paranjpe,252,INV-0852,7,7,0,YES,21524,21524,0,YES,1,3225,1,7,0,0,,,YES
