sheet_client_name,crm_customer_id,crm_customer_name,invoice_number,sheet_active_assets,crm_invoice_unique_assets,sheet_rent_total,crm_invoice_subtotal,rent_diff_sheet_minus_crm,matched_assets,sheet_not_in_crm,crm_not_on_sheet,amount_mismatch_assets,aligned
SUKHMAA SONS AND ASSOCIATES,42,SUKHMAA SONS AND ASSOCIATES,INV-0220,18,17,21842.32,20792.7,1049.62,13,5,4,3,NO
SHINENPRIME HEALTHCARE PRIVATE LIMITED,261,SHINENPRIME HEALTHCARE PRIVATE LIMITED,INV-0216,19,18,21952.76,20953.76,999,15,4,3,0,NO
Shreyas Management Consulting Services,76,Shreyas Management Consulting Services,INV-0355,12,12,21188,22174.52,-986.52,12,0,0,1,NO
,231,BM Computers,INV-0299,0,1,0,984.13,-984.13,0,0,1,0,NO
Tekuncorked Aiiot Private Limited,56,Tekuncorked Aiiot Private Limited,INV-0265,23,23,55576.81,56480.03,-903.22,23,0,0,1,NO
URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,92,URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,INV-0196,42,42,40558,41363.65,-805.65,38,4,4,1,NO
BIZDATEUP TECHNOLOGIES PRIVATE LIMITED,232,BIZDATEUP TECHNOLOGIES PRIVATE LIMITED,INV-0249,23,23,27248,28027.03,-779.03,23,0,0,1,NO
Mobifly Brain Box,143,BRAINBOX NETWORK,INV-0369,17,17,30141,29386.64,754.36,12,5,5,1,NO
ZYKRR TECHNOLOGIES PRIVATE LIMITED,242,ZYKRR TECHNOLOGIES PRIVATE LIMITED,INV-0256,38,37,99653.59,100406.62,-753.03,37,1,0,6,NO
BPB ONLINE LLP,47,BPB Online LLP,INV-0348,20,20,36578,35881.62,696.38,20,0,0,4,NO
CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,113,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,INV-0227,17,17,33079.38,32615.13,464.25,17,0,0,2,NO
Optimizing Resources Private Limited,29,Optimizing Resources Private Limited,INV-0268,105,105,176274.68,176429.51,-154.83,99,6,6,3,NO
EXIMPLE TECHNOLOGIES PRIVATE LIMITED,195,EXIMPLE TECHNOLOGIES PRIVATE LIMITED,INV-0304,7,7,11194,11294,-100,7,0,0,2,NO
Digital Eco Innovision Private Limited,11,Digital Eco Innovision Private Limited,INV-0218,29,29,72069.84,72150.45,-80.61,27,2,2,1,NO
The Class One/ Inventify Edtech solution Pvt. Ltd,230,The Class One/ Inventify Edtech solution Pvt. Ltd,INV-0324,14,14,18380.64,18451.61,-70.97,13,1,1,1,NO
DIGITAL NIRVANA INFORMATION SYSTEMS INDIA PRIVATE LIMITED,30,Digital Nirvana Information Systems Pvt Ltd,INV-0250,11,11,28234.92,28302.63,-67.71,11,0,0,1,NO
GODASH SOLUTIONS PRIVATE LIMITED,100,GODASH SOLUTIONS PRIVATE LIMITED,INV-0329,10,10,18531.32,18476.52,54.8,10,0,0,1,NO
ClickOnik Digital Media Pvt Ltd,139,Clickonik Digital Private Limited,INV-0332,2,2,3404.32,3455.9,-51.58,2,0,0,1,NO
,163,Truetech Services Pvt. Ltd.,INV-0288,0,11,0,11,-11,0,0,11,0,NO
OLA,160,OLA,,4,0,4,0,4,0,4,0,0,NO
Abjayon Consultancy Pvt. Ltd.,206,ABJAYON CONSULTANCY PRIVATE LIMITED,INV-0320,27,28,54952,54953.45,-1.45,26,1,2,1,NO
INNOVA ESI PRIVATE LIMITED,74,INNOVA ESI PRIVATE LIMITED,,1,0,1,0,1,0,1,0,0,NO
MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED,6,MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED,INV-0282,30,30,64898,64898,0,29,1,1,0,NO
Indicold pvt ltd.,5,Indicold Private Limited (HR),INV-0262,12,12,25789,25789,0,8,4,4,0,NO
COSMOFEED TECHNOLOGIES PRIVATE LIMITED,111,COSMOFEED TECHNOLOGIES PVT LTD,INV-0305,42,42,89752.45,89752.45,0,41,1,1,0,NO
People Staffing Solutions,7,PEOPLE STAFFING SOLUTIONS,INV-0325,35,35,34426,34426,0,30,5,5,0,NO
