#,TTSPL,Serial,Customer,Rental Date,Rental DC,Return DC,Sale Date,Sale DC,Sale Price
139,TTSPL2926,1G5Q5Q2,Synergie Network Engineering India Pvt Ltd,2026-02-06,DC-001614,RDC001195,2026-05-27,DC/26-27/0495,26000.00
140,TTSPL3403,HW2GN13,Synergie Network Engineering India Pvt Ltd,2026-02-06,DC-001593,RDC001196,2026-05-27,DC/26-27/0495,26000.00
141,TTSPL6273,F3P6V93,Synergie Network Engineering India Pvt Ltd,2026-02-06,DC-001685,RDC001083,2026-05-27,DC/26-27/0495,20000.00
142,TTSPL6497,H8QS103,Synergie Network Engineering India Pvt Ltd,2026-02-06,DC-001684,RDC001194,2026-05-27,DC/26-27/0495,26000.00
143,TTSPL1658,PC01WC4J,A S Computer Services PVTLTD,2026-05-25,DC/26-27/0464,,2026-05-26,DC/26-27/0465,8899.00
144,TTSPL5921,PG037G80,BM Computers,2026-02-06,DC-000325,RDC000411,2026-05-23,DC/26-27/0436,20763.00
145,TTSPL2054,H933VF2,BM Computers,2026-03-12,DC-003301,"RDC000773, RDC000830",2026-05-22,DC/26-27/0401,10595.00
146,TTSPL4016,5CG6420HNS,BM Computers,2026-03-20,DC-003379,RDC001070,2026-05-22,DC/26-27/0401,10595.00
147,TTSPL3401,JWFHKC2,BM Computers,2026-04-22,DC-003718,RDC001111,2026-05-22,DC/26-27/0390,10595.00
148,TTSPL6941,GP18CG2,BM Computers,2026-02-06,DC-002689,"RDC000383, RDC000771",2026-05-22,DC/26-27/0390,10595.00
149,TTSPL2792,FWPZ5H2,BM Computers,2026-02-06,DC-000998,"RDC000478, RDC001105",2026-05-21,DC/26-27/0381,10595.00
150,TTSPL3029,7KK4LC2,BM Computers,2026-02-06,DC-000086,"RDC000757, RDC001080",2026-05-21,DC/26-27/0381,10595.00
151,TTSPL5232,PG02Y0DD,Brajesh Yadav,2026-02-06,DC-002591,RDC000960,2026-05-21,DC/26-27/0379,20339.00
152,TTSPL2805,16M10G2,BM Computers,2026-02-06,DC-000172,RDC001046,2026-05-21,DC/26-27/0370,19068.00
153,TTSPL4495,198Z4M3,BM Computers,2026-02-06,DC-002193,RDC000872,2026-05-21,DC/26-27/0370,19068.00
154,TTSPL5386,CCL03J3,BM Computers,2026-02-06,DC-002277,RDC001093,2026-05-21,DC/26-27/0370,19068.00
155,TTSPL5499,DTP70J3,B M TECHNOLOGIES,2026-02-06,DC-002291,"RDC001094, RDC001608",2026-05-21,DC/26-27/1078,1.00
156,TTSPL2957,9MBCQ92,A S Computer Services PVTLTD,2026-03-30,DC-003438,RDC000988,2026-05-21,DC/26-27/0332,11017.00
157,TTSPL4159,JVZFFC2,A S Computer Services PVTLTD,2026-03-11,DC-003292,RDC001054,2026-05-21,DC/26-27/0332,11017.00
