issue_type,why_category,why_detail,serial_id,ttspl_id,ups,serial_number,customer_id,customer_name,inventory_status,brand,model,rent_monthly_rate,rent_start_date,rent_billed_until,dispatch_mode,current_dc_number,serial_dispatched_at_ist,serial_delivered_at_ist,matched_dc_number,matched_dc_status,matched_dc_dispatched_at_ist,matched_dc_delivered_at_ist,sales_order_number,is_replaced,action_remark,came_from,suggested_rent_start,billing_impact,updated_at
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,577,TTSPL6024,TTSPL6024,PG02RECR,48,Pibit Technologies Private Limited,rented,Dell,Lenovo Thinkpad E14,2374.00,,,,,,,,,,,,0,This product Pickuped from customer,119,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,2865,TTSPL6408,TTSPL6408,PG02JQ5M,48,Pibit Technologies Private Limited,rented,Dell,Lenovo Thinkpad E-14 Gen 2,2374.00,,,,,,,,,,,,0,This product Pickuped from customer,110,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,2867,TTSPL6412,TTSPL6412,PG02HY9G,48,Pibit Technologies Private Limited,rented,Dell,Lenovo Thinkpad E-14 Gen 2,2374.00,,,,,,,,,,,,0,This product Pickuped from customer,110,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,252,TTSPL6884,TTSPL6884,5CG3101NNS,48,Pibit Technologies Private Limited,rented,Dell,HP Elitebook 840 G8,3174.00,,,,,,,DC-000349,delivered,,2026-02-06,SO-000349,0,This product returned from customer,48,2026-02-06,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null,1496,TTSPL6801,TTSPL6801,3X89ZD3,122,RATHAM TECHNOLOGIES LLP,rented,Dell,Dell Latitude 5420,3199.00,,,,,,,DC/26-27/0722,delivered,,,SO/26-27/0718,0,This product returned from customer,94,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|serial_delivered_at_present_but_rent_start_not_set|current_dc_number_null,2273,TTSPL1776,TTSPL1776,C02HQ192Q6L4,65,REYKLE INDIA PRIVATE LIMITED,rented,Dell,Apple MacBook Air,4000.00,,,,,,2026-07-17,DC-003535,delivered,,2026-04-04,SO-003616,0,This product Pickuped from customer,65,2026-04-04,SKIPPED on invoice generate until rent_start_date is set,Mon Jul 27 2026 07:32:36 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,4056,TTSPL7349,TTSPL7349,2TK24908R1,88,RITU DAVID CONSULTING,rented,HP,HP ELITEBOOK 640 G9,2799.00,,,,,,,,,,,,0,This product returned from customer,285,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,4067,TTSPL7356,TTSPL7356,J0Y6V999LJ,88,RITU DAVID CONSULTING,rented,Apple,Apple Macbook Pro,11000.00,,,,,,,DC/26-27/0598,delivered,,2026-06-19,SO/26-27/0580,0,,,2026-06-19,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,3746,TTSPL3128,TTSPL3128,PF225G3H,66,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,rented,Lenovo,Lenovo Thinkpad T490,1100.00,,,,,,,DC-003606,delivered,,2026-04-10,SO-003692,0,This product returned from customer,66,2026-04-10,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,94,TTSPL5037,TTSPL5037,PC1FBACQ,66,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,rented,Dell,Lenovo Thinkpad T490s,1100.00,,,,,,,DC-000128,delivered,,2026-02-06,SO-000128,0,This product Pickuped from customer,66,2026-02-06,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
