serial_id,ttspl_id,ups,serial_number,customer_id,customer_name,inventory_status,rent_start_date,rental_start_date_legacy,rent_end_date,rent_billed_until,rent_monthly_rate,brand,model,current_dc_number,dispatched_at_ist,delivered_at_ist,returned_at_ist,is_replaced,is_repaired,action_status,action_remark,came_from,issue_type,why,billing_impact,updated_at
1024,TTSPL4892,TTSPL4892,MH4LP233GM,48,Pibit Technologies Private Limited,rented,,,,,9474.00,Dell,Apple Macbook Pro,,,,,0,0,pickuped,This product Pickuped from customer,49,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
577,TTSPL6024,TTSPL6024,PG02RECR,48,Pibit Technologies Private Limited,rented,,,,,2374.00,Dell,Lenovo Thinkpad E14,,,,,0,0,pickuped,This product Pickuped from customer,119,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
2865,TTSPL6408,TTSPL6408,PG02JQ5M,48,Pibit Technologies Private Limited,rented,,2027-02-07,,,2374.00,Dell,Lenovo Thinkpad E-14 Gen 2,,,,,0,0,pickuped,This product Pickuped from customer,110,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
2867,TTSPL6412,TTSPL6412,PG02HY9G,48,Pibit Technologies Private Limited,rented,,2027-02-07,,,2374.00,Dell,Lenovo Thinkpad E-14 Gen 2,,,,,0,0,pickuped,This product Pickuped from customer,110,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
252,TTSPL6884,TTSPL6884,5CG3101NNS,48,Pibit Technologies Private Limited,rented,,,,,3174.00,Dell,HP Elitebook 840 G8,,,,,0,0,return,This product returned from customer,48,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
1496,TTSPL6801,TTSPL6801,3X89ZD3,122,RATHAM TECHNOLOGIES LLP,rented,,,,,3199.00,Dell,Dell Latitude 5420,,,,,0,0,return,This product returned from customer,94,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
2273,TTSPL1776,TTSPL1776,C02HQ192Q6L4,65,REYKLE INDIA PRIVATE LIMITED,rented,,2027-02-07,,,4000.00,Dell,Apple MacBook Air,,,2026-07-17,,0,0,pickuped,This product Pickuped from customer,65,rent_start_null,has_delivered_at_but_rent_start_never_activated|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-27 07:32:36.974777+00
4056,TTSPL7349,TTSPL7349,2TK24908R1,88,RITU DAVID CONSULTING,rented,,,,,2799.00,HP,HP ELITEBOOK 640 G9,,,,,0,0,return,This product returned from customer,285,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
4067,TTSPL7356,TTSPL7356,J0Y6V999LJ,88,RITU DAVID CONSULTING,rented,,,,,11000.00,Apple,Apple Macbook Pro,,,,,0,0,,,,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
3746,TTSPL3128,TTSPL3128,PF225G3H,66,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,rented,,,,,1100.00,Lenovo,Lenovo Thinkpad T490,,,,,0,0,return,This product returned from customer,66,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
