issue_type,serial_id,ttspl_id,serial_number,customer_id,customer_name,inventory_status,brand,model,rent_monthly_rate,rent_start_date,serial_delivered_at_ist,matched_dc_number,matched_dc_delivered_at_ist,best_delivery_date,days_rent_start_minus_delivery,suggested_rent_start,why,billing_impact,current_dc_number
RENT_START_NULL,577,TTSPL6024,PG02RECR,48,Pibit Technologies Private Limited,rented,Dell,Lenovo Thinkpad E14,2374.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,2865,TTSPL6408,PG02JQ5M,48,Pibit Technologies Private Limited,rented,Dell,Lenovo Thinkpad E-14 Gen 2,2374.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,2867,TTSPL6412,PG02HY9G,48,Pibit Technologies Private Limited,rented,Dell,Lenovo Thinkpad E-14 Gen 2,2374.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,252,TTSPL6884,5CG3101NNS,48,Pibit Technologies Private Limited,rented,Dell,HP Elitebook 840 G8,3174.00,,,DC-000349,2026-02-06,2026-02-06,,2026-02-06,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,1496,TTSPL6801,3X89ZD3,122,RATHAM TECHNOLOGIES LLP,rented,Dell,Dell Latitude 5420,3199.00,,,DC/26-27/0722,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,2273,TTSPL1776,C02HQ192Q6L4,65,REYKLE INDIA PRIVATE LIMITED,rented,Dell,Apple MacBook Air,4000.00,,2026-07-17,DC-003535,2026-04-04,2026-04-04,,2026-04-04,rent_start_date_null|serial_has_delivered_at_but_rent_start_not_activated|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,4056,TTSPL7349,2TK24908R1,88,RITU DAVID CONSULTING,rented,HP,HP ELITEBOOK 640 G9,2799.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,4067,TTSPL7356,J0Y6V999LJ,88,RITU DAVID CONSULTING,rented,Apple,Apple Macbook Pro,11000.00,,,DC/26-27/0749,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,3746,TTSPL3128,PF225G3H,66,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,rented,Lenovo,Lenovo Thinkpad T490,1100.00,,,DC-003606,2026-04-10,2026-04-10,,2026-04-10,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,94,TTSPL5037,PC1FBACQ,66,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,rented,Dell,Lenovo Thinkpad T490s,1100.00,,,DC-000128,2026-02-06,2026-02-06,,2026-02-06,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,2450,TTSPL6594,8TWDQ13,20,Research Nester Private Limited,rented,Dell,Dell Latitude 5400,899.00,,,DC-001400,2026-02-06,2026-02-06,,2026-02-06,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,2208,TTSPL5851,MQD4RXJNYQ,39,SARTHHAKAI PRIVATE LIMITED,rented,Dell,Apple Macbook Pro,8999.00,,,DC-002219,2026-02-06,2026-02-06,,2026-02-06,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
