sheet_row,sheet_ttspl,crm_ttspl,hardware_serial,location,warehouse_status,customer_name,inventory_status,qc_status,floor_ticket,floor_stage,current_dc,warehouse_bin,model,note
218,TTSPL5474,TTSPL5474,FVFGWXEWQ05D,Warehouse,QC Process · Floor Manager,,returned,pending,#1602,Floor Manager,DC-000249,,Dell Apple Macbook Pro,
219,TTSPL5475,TTSPL5475,C02FCS9FQ6L4,With customer (rented),,PIBIT TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-000312,,Dell Apple Macbook Air,
220,TTSPL5497,TTSPL5497,FNPH1F3,With customer (rented),,Digital Eco Innovision Private Limited,rented,passed,,,DC/26-27/1107,,Dell Latitude 5420,
221,TTSPL5497,TTSPL5497,FNPH1F3,With customer (rented),,Digital Eco Innovision Private Limited,rented,passed,,,DC/26-27/1107,,Dell Latitude 5420,Duplicate in sheet
222,TTSPL5513,TTSPL5513,5CD4438VR6,Warehouse,QC Process · QC1,,in_stock,pending,#1353,QC1,DC-000635,,Dell HP Probook 450 G10,
223,TTSPL5515,TTSPL5515,5CD44060TB,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1049,,HP Probook 440 G10,
224,TTSPL5573,TTSPL5573,PG02V2BX,With customer (sold),,CITY COMPUTERS,sold,passed,,,DC/26-27/0998,,Lenovo Thinkbook 14 (Gen2),
225,TTSPL5598,TTSPL5598,PG0324LJ,With customer (rented),,TECHSUR INNOVATIONS PRIVATE LIMITED,rented,out_stock,,,DC-002404,,Dell Lenovo Thinkpad E14,
226,TTSPL5602,TTSPL5602,PF33CYX0,With customer (sold),,B M TECHNOLOGIES,sold,passed,,,DC/26-27/0882,,Dell Lenovo Thinkpad E14,
227,TTSPL5605,TTSPL5605,PF33C4ZS,With customer (sold),,B M TECHNOLOGIES,sold,passed,,,DC/26-27/0876,,Dell Lenovo Thinkpad E14,
228,TTSPL5609,TTSPL5609,PG02S22Q,Warehouse,QC Process · QC1,,returned,pending,#2545,QC1,,,Dell Lenovo Thinkpad E14,
229,TTSPL5629,TTSPL5629,PG0343G3,With customer (sold),,B M TECHNOLOGIES,sold,passed,,,DC/26-27/0715,,Dell Lenovo Thinkpad E14,
230,TTSPL5652,TTSPL5652,G2LMM53,With customer (rented),,MNR Solutions Pvt. Ltd.,rented,out_stock,,,DC/26-27/0686,,Dell Dell Latitude 5400,
231,TTSPL5658,TTSPL5658,9T7X503,With customer (rented),,United precision Cast,rented,out_stock,,,DC/26-27/0394,,Dell Dell Latitude 3410,
232,TTSPL5787,TTSPL5787,3GH82J3,With customer (rented),,RHOPHI ANALYTICS LLP (Punjab),rented,passed,,,DC/26-27/1181,,Dell Latitude 5420,
233,TTSPL5787,TTSPL5787,3GH82J3,With customer (rented),,RHOPHI ANALYTICS LLP (Punjab),rented,passed,,,DC/26-27/1181,,Dell Latitude 5420,Duplicate in sheet
234,TTSPL5791,TTSPL5791,6928HK3,With customer (rented),,NUTRITIONALAB PRIVATE LIMITED,rented,passed,,,DC/26-27/1006,,Dell Dell Latitude 5420,
235,TTSPL5849,TTSPL5849,M3PQNV4DJX,With customer (rented),,PIBIT TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/0990,,Apple Apple Macbook Air,
236,TTSPL6045,TTSPL6045,FGW390CXH9,With customer (rented),,NUTRITIONALAB PRIVATE LIMITED,rented,passed,,,DC/26-27/1012,,Apple MACBOOK AIR,
237,TTSPL6055,TTSPL6055,5J6BC63,Warehouse,QC Process · QC1,,returned,pending,#1681,QC1,DC-000954,,Dell Dell Latitude 3410,
238,TTSPL6058,TTSPL6058,H7ZYJG3,With customer (rented),,ABJAYON CONSULTANCY PRIVATE LIMITED,rented,pending,#1853,QC1,DC-002841,,Dell Dell Latitude 3420,
239,TTSPL6058,TTSPL6058,H7ZYJG3,With customer (rented),,ABJAYON CONSULTANCY PRIVATE LIMITED,rented,pending,#1853,QC1,DC-002841,,Dell Dell Latitude 3420,Duplicate in sheet
240,TTSPL6208,TTSPL6208,1743C63,Warehouse,QC Process · QC1,,returned,pending,#2512,QC1,,,Dell Dell Latitude 3410,
241,TTSPL6216,TTSPL6216,1H25HK3,Warehouse,QC Pending,,in_stock,qc_pending,,,,,Dell Dell Latitude 5420,
242,TTSPL6218,TTSPL6218,4805HK3,With customer (rented),,ZYKRR TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0707,,Dell Dell Latitude 5420,
243,TTSPL6221,TTSPL6221,DXR1T93,With customer (rented),,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0639,,Dell Dell Latitude 3410,
244,TTSPL6226,TTSPL6226,84GG463,Warehouse,QC Process · QC1,,returned,pending,#1798,QC1,DC-002648,,Dell Dell Latitude 3410,
245,TTSPL6231,TTSPL6231,92J0503,With customer (rented),,WSB PROJECTS PRIVATE LIMITED,rented,passed,,,DC/26-27/0854,,Dell Dell Latitude 3410,
246,TTSPL6236,TTSPL6236,J0Q1T93,With customer (rented),,Elysium Labs Pvt Ltd,rented,out_stock,,,DC-003263,,Dell Dell Latitude 3410,
247,TTSPL6245,TTSPL6245,6FVM763,Warehouse,QC Process · QC1,,returned,pending,#2773,QC1,,,Dell Dell Latitude 3410,
248,TTSPL6249,TTSPL6249,37PXVM3,Warehouse,QC Process · Floor Manager,,in_stock,pending,#2697,Floor Manager,,,Dell Latitude 5420,
249,TTSPL6254,TTSPL6254,7RC82J3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC-001983,,Dell Dell Latitude 5420,
250,TTSPL6254,TTSPL6254,7RC82J3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC-001983,,Dell Dell Latitude 5420,Duplicate in sheet
251,TTSPL6267,TTSPL6267,JBRD2B3,Warehouse,QC Process · Floor Manager,,returned,pending,#2507,Floor Manager,,,Dell Dell Latitude 3420,
252,TTSPL6271,TTSPL6271,F3QM763,With customer (rented),,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED,rented,out_stock,,,DC-003810,,Dell Dell Latitude 3410,
253,TTSPL6282,TTSPL6282,6BQM763,Warehouse,QC Pending,,in_stock,qc_pending,,,,,Dell Dell Latitude 3410,
254,TTSPL6293,TTSPL6293,DBP1T93,With customer (rented),,BRAINBOX NETWORK,rented,passed,,,DC/26-27/0904,,Dell Dell Dell Latitude 3410,
255,TTSPL6297,TTSPL6297,6SBB2J3,Warehouse,QC Process · Floor Manager,,returned,pending,#2345,Floor Manager,,,Dell Dell Latitude 5420,
256,TTSPL6298,TTSPL6298,D3PXVM3,With customer (rented),,Synergie Network Engineering India Pvt Ltd,rented,passed,,,DC/26-27/1081,,Dell Latitude 5420,
257,TTSPL6299,TTSPL6299,7N2K2J3,With customer (rented),,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,passed,,,DC/26-27/0798,,Dell Dell Latitude 5420,
258,TTSPL6313,TTSPL6313,1PX5HK3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC-003890,,Dell Dell Latitude 5420,
259,TTSPL6324,TTSPL6324,90PXVM3,With customer (rented),,NOTUS SERVICES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0477,,Dell Dell Latitude 5420,
260,TTSPL6330,TTSPL6330,BY23C63,Warehouse,QC Process,,returned,pending,,,DC-002651,,Dell Dell Latitude 3410,
261,TTSPL6331,TTSPL6331,3843C63,With customer (rented),,PRO-ALIGN SECURITY INDIA PRIVATE LIMITED,rented,out_stock,,,DC-003442,,Dell Dell Latitude 3410,
262,TTSPL6339,TTSPL6339,B3P6V93,Warehouse,QC Process · Diagnosis,,returned,pending,#1794,Diagnosis,DC-002653,,Dell Dell Latitude 3410,
263,TTSPL6344,TTSPL6344,3TKG463,Warehouse,QC Process · Assembly & Software,,returned,pending,#1796,Assembly & Software,DC-002652,,Dell Dell Latitude 3410,
264,TTSPL6348,TTSPL6348,BC63C63,Warehouse,QC Process · Diagnosis,,returned,pending,#2925,Diagnosis,,,Dell Dell Latitude 3410,
265,TTSPL6359,TTSPL6359,BZ76HK3,Warehouse,QC Process · QC1,,returned,pending,#2543,QC1,,,Dell Dell Latitude 5420,
266,TTSPL6365,TTSPL6365,24QBKR3,With customer (rented),,Upila Digital,rented,passed,,,DC/26-27/0795,,Dell Dell Latitude 7430,
267,TTSPL6424,TTSPL6424,PG02JQ94,Warehouse,QC Process · Chip Level Repair,,in_stock,pending,#1350,Chip Level Repair,,,Dell Lenovo Thinkpad E-14 Gen 2,
268,TTSPL6430,TTSPL6430,FXBJ2J3,Warehouse,QC Process · QC1,,returned,pending,#1463,QC1,DC-001969,,Dell Dell Latitude 5420,
269,TTSPL6432,TTSPL6432,4QFC2J3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001970,,Dell Dell Latitude 5420,
