sheet_row,sheet_ttspl,crm_ttspl,hardware_serial,location,warehouse_status,customer_name,inventory_status,qc_status,floor_ticket,floor_stage,current_dc,warehouse_bin,model,note
331,TTSPL6995,TTSPL6995,5CG14057NN,With customer (rented),,EXOTALENT CONSULTANCY SERVICES LLP,rented,passed,,,DC/26-27/1139,,HP Elitebook 840 G8,
332,TTSPL7007,TTSPL7007,5CG31302WC,With customer (rented),,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,passed,,,DC/26-27/0762,,HP HP Elitebook 840 G8,
333,TTSPL7028,TTSPL7028,5CG1412KXK,Warehouse,Dead Laptop,,scrapped,dead,,,,,HP HP Elitebook 830 G8,
334,TTSPL7034,TTSPL7034,5CG1417RM2,With customer (demo),,Truetech Services Pvt. Ltd.,on_demo,passed,,,DC/26-27/1099,,HP HP Elitebook 830 G8,
335,TTSPL7046,TTSPL7046,GSJQQG3,With customer (rented),,TECHSUR INNOVATIONS PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0594,,Dell Dell Latitude 5320 (Touch),
336,TTSPL7123,TTSPL7123,C077YZ2,With customer (rented),,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,passed,,,DC/26-27/0924,,Dell Dell Dell Latitude 3400,
337,TTSPL7126,TTSPL7126,F0FBNW2,With customer (rented),,MNR Solutions Pvt. Ltd.,rented,out_stock,,,DC/26-27/0551,,Dell Dell Latitude 3400,
338,TTSPL7130,TTSPL7130,JGPSVZ2,With customer (rented),,BIZDATEUP TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0503,,Dell Dell Latitude 3400,
339,TTSPL7134,TTSPL7134,H0FBNW2,Warehouse,QC Process,,out_stock,out_stock,,,,,Dell Dell Latitude 3400,
340,TTSPL7137,TTSPL7137,H377YZ2,Warehouse,Dead Laptop,,scrapped,dead,,,,,Dell Dell Latitude 3400,
341,TTSPL7146,TTSPL7146,GL2VVZ2,Warehouse,QC Pending,,in_stock,qc_pending,,,,,Dell Dell Latitude 3400,
342,TTSPL7182,TTSPL7182,R913GZ2Z,With customer (rented),,PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0469,,Lenovo Lenovo Thinkpad L13,
343,TTSPL7187,TTSPL7187,R913EBJQ,With customer (rented),,CDBASE SOLUTIONS INDIA PRIVATE LIMITED,rented,out_stock,,,,,Lenovo Lenovo Thinkpad L13,
344,TTSPL7215,TTSPL7215,R913GZHJ,With customer (rented),,Girish Srikrishna Paranjpe,rented,passed,,,DC/26-27/1133,,Lenovo Thinkpad L13,
345,TTSPL7236,TTSPL7236,R913GZ57,With customer (rented),,ZYKRR TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/0834,,Lenovo Lenovo Thinkpad L13,
346,TTSPL7242,TTSPL7242,R913GZCQ,With customer (rented),,RATHAM TECHNOLOGIES LLP,rented,out_stock,,,DC/26-27/0550,,Lenovo Lenovo Thinkpad L13,
347,TTSPL7245,TTSPL7245,R913GZ4E,With customer (rented),,CDBASE SOLUTIONS INDIA PRIVATE LIMITED,rented,passed,,,DC/26-27/1112,,Lenovo Thinkpad L13,
348,TTSPL7286,TTSPL7286,2TK25008GH,With customer (rented),,Khelo Tech and Strategy Pvt Ltd,rented,passed,,,DC/26-27/1151,,HP ELITEBOOK 640 G9,
349,TTSPL7289,TTSPL7289,2TK250094X,With customer (rented),,PIBIT TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0420,,HP HP ELITEBOOK 640 G9,
350,TTSPL7310,TTSPL7310,6D4C3F3,With customer (sold),,B M TECHNOLOGIES,sold,passed,,,DC/26-27/1078,,Dell Dell Dell Latitude 5420,
351,TTSPL7340,TTSPL7340,2TK2450398,With customer (rented),,Khelo Tech and Strategy Pvt Ltd,rented,passed,,,DC/26-27/1176,,HP ELITEBOOK 640 G9,
352,TTSPL7346,TTSPL7346,2TK2460D40,Warehouse,QC Process · Assembly & Software,,returned,pending,#2540,Assembly & Software,,,HP HP ELITEBOOK 640 G9,
353,TTSPL7365,TTSPL7365,2TK2450FMX,Warehouse,QC Process · QC1,,returned,pending,#2536,QC1,,,HP HP ELITEBOOK 640 G9,
354,TTSPL7367,TTSPL7367,2TK2470DSZ,With customer (rented),,PIBIT TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0622,,HP HP ELITEBOOK 640 G9,
355,TTSPL7386,TTSPL7386,5CG0278DQJ,Warehouse,QC Process · Floor Manager,,returned,pending,#2344,Floor Manager,,,HP HP ProBook 640 G5,
356,TTSPL7427,TTSPL7427,2MQ449129N,With customer (rented),,PIBIT TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/0940,,HP HP EliteBook 640 14 inch G11 Notebook PC,
357,TTSPL7464,TTSPL7464,2TK2450F9N,Warehouse,QC Process · Assembly & Software,,returned,pending,#2437,Assembly & Software,,,HP HP EliteBook 640 14 inch G9 Notebook PC,
358,TTSPL7479,TTSPL7479,5CG0278L02,With customer (rented),,Clanify Media Private Limited,rented,passed,,,DC/26-27/0937,,HP HP ProBook 640 G5,
359,TTSPL7479,TTSPL7479,5CG0278L02,With customer (rented),,Clanify Media Private Limited,rented,passed,,,DC/26-27/0937,,HP HP ProBook 640 G5,Duplicate in sheet
360,TTSPL7483,TTSPL7483,5CG0278MBZ,With customer (rented),,Clanify Media Private Limited,rented,passed,,,DC/26-27/0937,,HP HP ProBook 640 G5,
361,TTSPL7580,TTSPL7580,5CG0274K1D,With customer (rented),,Gozocabs,rented,passed,,,DC/26-27/1067,,HP HP ProBook 640 G5,
362,TTSPL7592,TTSPL7592,18QWDY3,With customer (rented),,PIBIT TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1167,,Dell Inc. Latitude 7440,
363,TTSPLGR0151,TTSPLGR0151,1V02PQ2,Warehouse,QC Process · QC1,,returned,pending,#2478,QC1,,,Dell Dell Latitude 7390,
364,TTSPLGR0157,TTSPLGR0157,PF0XTT4G,Warehouse,QC Process · QC1,,returned,pending,#2707,QC1,,,Dell Lenovo Thinkpad T470 (Touch Screen),
365,TTTSPL3560,TTSPL3560,2TK9290156,Warehouse,QC Process · Floor Manager,,returned,pending,#1966,Floor Manager,,,Dell HP PROBOOK 640 G4,Sheet ID normalized to TTSPL3560
