customer_name_sheet,crm_customer_id,crm_customer_name,crm_total_active_assets,sheet_active_assets_with_rent,total_rent_amount_sheet,customer_match_method,total_per_month_rate_sheet,matched_assets,unmatched_sheet_assets,crm_active_not_on_sheet,rate_match_count,rate_mismatch_count,asset_count_aligned,count_diff_sheet_minus_crm
ASL GLOBAL ADVISORS PRIVATE LIMITED,198,ASL GLOBAL ADVISORS PRIVATE LIMITED,13,12,28788,name,28788,11,1,2,11,0,NO,-1
DIGITAL NIRVANA INFORMATION SYSTEMS INDIA PRIVATE LIMITED,30,Digital Nirvana Information Systems Pvt Ltd,11,11,28234.92,name,23089,11,0,0,11,0,YES,0
IMSUCCESS PRIVATE LIMITED,50,IMSUCCESS PRIVATE LIMITED,5,5,27949,name,27949,5,0,0,5,0,YES,0
BIZDATEUP TECHNOLOGIES PRIVATE LIMITED,232,BIZDATEUP TECHNOLOGIES PRIVATE LIMITED,23,23,27248,name,27248,23,0,0,23,0,YES,0
Indicold pvt ltd.,5,Indicold Private Limited (HR),12,12,25789,name,25789,12,0,0,12,0,YES,0
BMRV Engineering Consultants LLP,137,BMRV Engineering Consultants LLP,13,13,25788,name,25788,13,0,0,13,0,YES,0
Clanify Media Private Limited,138,Clanify Media Private Limited,16,16,25155.3,name,23394,16,0,0,16,0,YES,0
TOWN CONTACTS TECHNOLOGIES PRIVATE LIMITED,91,Town Contact Technologies Private Limited,12,12,23488,name,23488,12,0,0,12,0,YES,0
SAAN GLOBAL LIMITED,271,SAAN GLOBAL LIMITED,8,8,23379.04,name,23192,8,0,0,8,0,YES,0
IIOT INNOVATION Private Limited,214,IIOT INNOVATION PRIVATE LIMITED,11,12,23278.68,name,23988,11,1,0,11,0,NO,1
Trailytics Global Services Private Limited,10,Trailytics Global Services Private Limited,8,8,22583,name,22583,8,0,0,8,0,YES,0
TRIPOCLAN TRAVEL PRIVATE LIMITED,45,TRIPOCLAN TRAVEL PRIVATE LIMITED,12,12,22289,name,22289,12,0,0,12,0,YES,0
ELEVONDATA LABS PRIVATE LIMITED,161,ELEVONDATA LABS PRIVATE LIMITED,9,9,22091,name,22091,9,0,0,9,0,YES,0
CoreOps.AI,970, CoreOps.AI,2,2,22046.32,name,21498,2,0,0,2,0,YES,0
