customer_name_sheet,crm_customer_id,crm_customer_name,crm_total_active_assets,sheet_active_assets_with_rent,total_rent_amount_sheet
SHINENPRIME HEALTHCARE PRIVATE LIMITED,261,SHINENPRIME HEALTHCARE PRIVATE LIMITED,19,19,21952.76
SUKHMAA SONS AND ASSOCIATES,42,SUKHMAA SONS AND ASSOCIATES,18,18,21842.32
Road Express Technology Pvt. Ltd.,66,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,20,20,21599
Girish Srikrishna Paranjpe,252,Girish Srikrishna Paranjpe,7,7,21524
PPG Asian Paint,79,PPG ASIAN PAINTS PRIVATE LIMITED,15,16,21210.65
Shreyas Management Consulting Services,76,Shreyas Management Consulting Services,13,12,21188
QUICKREPLY TECHNOLOGIES INDIA PVT. LTD.,153,QUICKREPLY TECHNOLOGIES INDIA PRIVATE LIMITED,11,11,20858.71
Khelo Tech and Strategy Pvt Ltd,969,Khelo Tech and Strategy Pvt Ltd,8,8,19192
GODASH SOLUTIONS PRIVATE LIMITED,100,GODASH SOLUTIONS PRIVATE LIMITED,10,10,18531.32
The Class One/ Inventify Edtech solution Pvt. Ltd,230,The Class One/ Inventify Edtech solution Pvt. Ltd,14,14,18380.64
E N COMMUNICATION PRIVATE LIMITED,104,E N COMMUNICATION PRIVATE LIMITED,10,10,17990
(BLANK CLIENT),,NOT_FOUND_IN_CRM,0,1,17990
PRO-ALIGN SECURITY INDIA PRIVATE LIMITED,260,PRO-ALIGN SECURITY INDIA PRIVATE LIMITED,13,13,17537
Technians Softech Pvt.Ltd,219,Technians Softech Pvt.Ltd,6,6,17237.31
SINGULARITY GAMES PRIVATE LIMITED,216,SINGULARITY GAMES PRIVATE LIMITED,4,4,16944.13
BIOSKY SPACE INNOVATIONS PRIVATE LIMITED,199,BIOSKY SPACE INNOVATIONS PRIVATE LIMITED,4,4,16696
Sturmfrei Hospitality Pvt. Ltd,281,Sturmfrei Hospitality Pvt. Ltd,5,5,16495
Goolean Technologies Pvt Ltd,220,GOOLEAN TECHNOLOGIES PRIVATE761976109 LIMITED,7,8,16284.67
TripHunter In,69,Trip Hunter,9,9,16191
Aksum Trademart Pvt Ltd,135,AKSUM TRADEMART PRIVATE LIMITED,8,8,16173.42
VALENTA KPO PRIVATE LIMITED,16,VALENTA KPO PRIVATE LIMITED,7,7,15893
SGATE Tech Solutions Private Limited,89,SGATE TECH SOLUTIONS PRIVATE LIMITED,8,8,15682.06
PINNACLEWORKS INFOTECH PRIVATE LIMITED,27,PINNACLEWORKS INFOTECH PRIVATE LIMITED,8,8,15397
Wick Automation LLP,93,WICK AUTOMATION LLP,9,9,14242.58
Bench Kart Services Pvt Ltd,129,Benchkart Services Private Limited,10,10,14031
COSMO BRANDS PRIVATE LIMITED,118,COSMO BRANDS PRIVATE LIMITED,11,11,14026
Aim Plus Staffing Solutions,130,Aim Plus Staffing Solutions,7,8,13679
scaleglobal,280,scaleglobal,1,6,13625.81
EVERSOFT TECHNOLOGIES PRIVATE LIMITED,251,EVERSOFT TECHNOLOGIES PRIVATE LIMITED,11,11,13189
WSB Projects Pvt. Ltd,70,WSB PROJECTS PRIVATE LIMITED,8,8,13112.9
AMAR AMBA FINANCE HIRE PURCHASE PRIVATE LIMITED,255,Amar Amba Finance Hire Purchase Private Limited,9,10,12692
TRUE BUSINESS MINDS PRIVATE LIMITED,204,TRUE BUSINESS MINDS PRIVATE LIMITED,14,14,12600
Dawnsun Exim Corporation,126,DAWNSUN EXIM CORPORATION,9,6,12489
TENSOR LOGISTICS PRIVATE LIMITED,85,TENSOR LOGISTICS PRIVATE LIMITED,8,8,12093
V6 SKIN CLINIC PRIVATE LIMITED,2,V6 SKIN CLINIC PRIVATE LIMITED,5,5,11895
Parts Avatar India Pvt. Ltd.,72,PARTS AVATAR INDIA PRIVATE LIMITED,43,2,11879.03
Prisha Insurance Brokers Pvt Ltd,54,Prisha Insurance Brokers Pvt Ltd,6,6,11731.48
Saajha,14,Saajha,6,6,11658
Maxlence Digital (OPC) Private Limited,211,Maxlence Digital (OPC) Private Limited,2,2,11343.55
Viralcurry Digital Private Limited,17,VIRALCURRY DIGITAL PRIVATE LIMITED,8,8,11206.45
EXIMPLE TECHNOLOGIES PRIVATE LIMITED,195,EXIMPLE TECHNOLOGIES PRIVATE LIMITED,7,7,11194
Beom Commerce Private Limited,131,Beom Commerce Private Limited,8,10,11190.32
RANGREZA RETAIL SERVICES PRIVATE LIMITED,80,Rangreza Retail Services Pvt Ltd,4,4,10947
COAL BEAUTY PRIVATE LIMITED,145,COAL BEAUTY PRIVATE LIMITED,9,9,10791
SBNRI TECHNOLOGIES PRIVATE LIMITED,217,SBNRI TECHNOLOGIES PRIVATE LIMITED (HR),4,4,10098
86 AGENCY,128,86 AGENCY,5,5,9995
OPERISOFT TECHNOLOGIES PRIVATE LIMITED,193,OPERISOFT TECHNOLOGIES PRIVATE LIMITED,5,5,9995
Realvibe digital media pvt. Ltd.,82,RealVibe digital media pvt ltd,2,2,9598
Khushi Housing Solutions Private Limited,263,Khushi Housing Solutions Private Limited,1,1,8999
QUREX HEALTH PRIVATE LIMITED,959,QUREX HEALTH PRIVATE LIMITED,5,5,8987.68
Aamore Solutions,125,Aamore solutions,6,6,8700
Allyventure (India) Private Limited,226,ALLYVENTURE (INDIA) PRIVATE LIMITED,4,4,7996
Youbooks Edtech India Pvt. Ltd.,233,Youbooks Edtech India Pvt. Ltd.,7,7,7894
NECTAR INFOTEL SOLUTIONS PRIVATE LIMITED,87,NECTAR INFOTEL SOLUTIONS PRIVATE LIMITED,7,7,7893
24X7 STORE PRIVATE LIMITED,24,24X7 STORE PRIVATE LIMITED,5,5,7496
EXOTALENT CONSULTANCY SERVICES LLP,182,EXOTALENT CONSULTANCY SERVICES LLP,3,4,7238.97
AWL India Private Limited,177,AWL India Private Limited,5,5,7000
SOM PRO FACILITIES INDIA PRIVATE LIMITED,258,SOM PRO FACILITIES INDIA PRIVATE LIMITED,5,5,6745
Alpha Rites,227,Alpha Rites,3,3,6597
SYNERGY SOFTWARES LIMITED,44,SYNERGY SOFTWARES LIMITED,5,4,6550
Inaya Reality,34,Inaya Realty,4,4,6396
FLights Mojo Bookings Private Limited,205,Flights Mojo Bookings Private Limited,1,1,6000
SAATHI WORLDAPP PRIVATE LIMITED,15,SAATHI WORLDAPP PRIVATE LIMITED,4,4,6000
MERITSHOT ZETTA EDUTECH PRIVATE LIMITED,167,MERITSHOT ZETTA EDUTECH PRIVATE LIMITED,1,1,5999
Scoopalicious (OPC) Private limited,240,Scoopalicious (OPC) Private limited,1,1,5999
ISCREENING SERVICES PRIVATE LIMITED,35,ISCREENING SERVICES PRIVATE LIMITED,6,6,5994
ICHELON Consulting Group,4,ICHELON CONSULTING GROUP,2,1,5990
Dawnsun Kyosei,126,DAWNSUN EXIM CORPORATION,9,3,5488
MANTARAV PRIVATE LIMITED,968,MANTARAV PRIVATE LIMITED,1,1,5399
RISK EDUCATORS PRIVATE LIMITED,21,RISK EDUCATORS PRIVATE LIMITED,1,1,5299
ENCUBATE TECH PRIVATE LIMITED,229,ENCUBATE TECH PRIVATE LIMITED,2,2,5198
Digeesell Media Solutions Pvt Ltd,60,DIGEESELL MEDIA SOLUTIONS PRIVATE LIMITED,3,3,5147
RASAYANAM NUTRIPHARM PRIVATE LIMITED,81,RASAYANAM NUTRIPHARM PRIVATE LIMITED,1,1,4999
WedMeGood,57,WedMeGood,1,1,4999
Nexthire LLP,52,Nexthire LLP,6,5,4995
Stefen Electric Pvt Ltd,84,STEFEN ELECTRIC PRIVATE LIMIED,5,5,4995
LEARNINGPAD EDUCATION SOLUTIONS PRIVATE LIMITED,913,LEARNINGPAD EDUCATION SOLUTIONS PRIVATE LIMITED,2,2,4798
Auraa Coordination & Productions Pvt Ltd,222,Auraa Coordination & Productions Pvt Ltd,3,3,4797
RENCOMM TELE SERVICES LLP,99,RENCOMM TELE SERVICES LLP,4,4,4796
Power Parts Pvt. Ltd,75,Power Parts Pvt. Ltd.,2,2,4789
TSCX CONSULTING PRIVATE LIMITED,49,TSCX CONSULTING PRIVATE LIMITED,1,1,4299
Bergen Associated Pvt Ltd,121,BERGEN ASSOCIATES PVT LTD.,2,2,3840
Vaatun Technologies Private Limited,274,Vaatun Technologies Private Limited,1,1,3500
VINCIT TECHNOLOGIES PVT LTD,112,VINCIT TECHNOLOGIES PVT LTD,2,2,3498
ClickOnik Digital Media Pvt Ltd,139,Clickonik Digital Private Limited,2,2,3404.32
