serial_number,ttspl,customer,so,dc,customer_price,delivered_ist,updated_ist,brand,model
5CG5111B2T,TTSPL1996,BM Computers,SO-003850,DC-003746,8475.00,2026-07-09 11:41:44.53,2026-07-31 02:16:40.715162,Dell,HP Elitebook 840 G1
10Z2M13,TTSPL3130,BM Computers,SO-003852,DC-003748,14661.00,2026-07-09 11:41:44.519,2026-07-31 02:16:40.715162,Dell,Dell Latitude 7400 (Touch Screen)
PC1FBAEK,TTSPL4914,BM Computers,SO-003852,DC-003748,15288.00,2026-07-09 11:41:44.525,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad T490s
16M10G2,TTSPL2805,BM Computers,SO/26-27/0333,DC/26-27/0370,10593.00,2026-07-09 11:41:44.513,2026-07-31 02:16:40.715162,Dell,Dell Latitude E7470
198Z4M3,TTSPL4495,BM Computers,SO/26-27/0333,DC/26-27/0370,19068.00,2026-07-09 11:41:44.472,2026-07-31 02:16:40.715162,Dell,Dell Latitude 5420
3J3VVZ2,TTSPL7138,BM Computers,SO/26-27/0333,DC/26-27/0370,14830.00,2026-07-09 11:41:44.489,2026-07-31 02:16:40.715162,Dell,Dell Latitude 3400
52FBNW2,TTSPL7121,BM Computers,SO/26-27/0333,DC/26-27/0370,14830.00,2026-07-09 11:41:44.498,2026-07-31 02:16:40.715162,Dell,Dell Latitude 3400
5JPSVZ2,TTSPL7142,BM Computers,SO/26-27/0333,DC/26-27/0370,14830.00,2026-07-09 11:41:44.486,2026-07-31 02:16:40.715162,Dell,Dell Latitude 3400
5K2VVZ2,TTSPL7131,BM Computers,SO/26-27/0333,DC/26-27/0370,14830.00,2026-07-09 11:41:44.495,2026-07-31 02:16:40.715162,Dell,Dell Latitude 3400
5M77YZ2,TTSPL7145,BM Computers,SO/26-27/0333,DC/26-27/0370,14830.00,2026-07-09 11:41:44.504,2026-07-31 02:16:40.715162,Dell,Dell Latitude 3400
6Q77YZ2,TTSPL7122,BM Computers,SO/26-27/0333,DC/26-27/0370,14830.00,2026-07-09 11:41:44.459,2026-07-31 02:16:40.715162,Dell,Dell Latitude 3400
7967YZ2,TTSPL7143,BM Computers,SO/26-27/0333,DC/26-27/0370,14830.00,2026-07-09 11:41:44.516,2026-07-31 02:16:40.715162,Dell,Dell Latitude 3400
88MJZH3,TTSPL4537,BM Computers,SO/26-27/0333,DC/26-27/0370,19068.00,2026-07-09 11:41:44.478,2026-07-31 02:16:40.715162,Dell,Dell Latitude 5420
BHPSVZ2,TTSPL7136,BM Computers,SO/26-27/0333,DC/26-27/0370,14830.00,2026-07-09 11:41:44.493,2026-07-31 02:16:40.715162,Dell,Dell Latitude 3400
CCL03J3,TTSPL5386,BM Computers,SO/26-27/0333,DC/26-27/0370,19068.00,2026-07-09 11:41:44.468,2026-07-31 02:16:40.715162,Dell,Dell Latitude 5420
HQ77YZ2,TTSPL7144,BM Computers,SO/26-27/0333,DC/26-27/0370,14830.00,2026-07-09 11:41:44.51,2026-07-31 02:16:40.715162,Dell,Dell Latitude 3400
JS3R2F2,TTSPL4213,BM Computers,SO/26-27/0333,DC/26-27/0370,19068.00,2026-07-09 11:41:44.465,2026-07-31 02:16:40.715162,Dell,Dell Latitude 5420
7KK4LC2,TTSPL3029,BM Computers,SO/26-27/0345,DC/26-27/0381,10595.00,2026-07-09 11:41:44.457,2026-07-31 02:16:40.715162,Dell,Dell Latitude E7470
FWPZ5H2,TTSPL2792,BM Computers,SO/26-27/0345,DC/26-27/0381,10595.00,2026-07-09 11:41:44.453,2026-07-31 02:16:40.715162,Dell,Dell Latitude E5470
GP18CG2,TTSPL6941,BM Computers,SO/26-27/0358,DC/26-27/0390,10595.00,2026-07-09 11:41:44.445,2026-07-31 02:16:40.715162,Dell,Dell Latitude E5470
JWFHKC2,TTSPL3401,BM Computers,SO/26-27/0358,DC/26-27/0390,10595.00,2026-07-09 11:41:44.45,2026-07-31 02:16:40.715162,Dell,Dell Latitude E7270
5CG6420HNS,TTSPL4016,BM Computers,SO/26-27/0369,DC/26-27/0401,10595.00,2026-07-09 11:41:44.439,2026-07-31 02:16:40.715162,Dell,HP Elitebook 820 G3
