TTSPL ID,Serial Number,Status,Customer ID,Customer Name,DC Number,Entity,Brand,Model,Processor,Generation,RAM,Storage,GPU,Screen Size,Monthly Rate (ex GST),SO Rate (ex GST),Sales Order,Rent Start,Dispatched,Delivered,PO Number,PO Type
TTSPL7141,J1FBNW2,out_stock,,,,,Dell,Dell Latitude 3400,I7,8TH,8GB,512GB SSD,Nvidia Geforce MX130,14-inch,,14830.00,SO/26-27/0306,,,,PO-0115,direct_purchase
TTSPL7168,R913GZC5,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,1.00,SO/26-27/0626,,,,PO-0116,direct_purchase
TTSPL7174,R913GZCN,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,23500.00,SO/26-27/0383,,,,PO-0116,direct_purchase
TTSPL7175,R913GZ6H,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,23500.00,SO/26-27/0383,,,,PO-0116,direct_purchase
TTSPL7177,R913GZCH,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,23500.00,SO/26-27/0383,,,,PO-0116,direct_purchase
TTSPL7178,R913GZ4L,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,23500.00,SO/26-27/0383,,,,PO-0116,direct_purchase
TTSPL7180,R913GZ5C,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,23500.00,SO/26-27/0383,,,,PO-0116,direct_purchase
TTSPL7185,R913GZGD,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,23500.00,SO/26-27/0383,,,,PO-0116,direct_purchase
TTSPL7189,R914RLRE,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,23500.00,SO/26-27/0383,,,,PO-0116,direct_purchase
TTSPL7191,R913GZD8,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,23500.00,SO/26-27/0383,,,,PO-0116,direct_purchase
TTSPL7194,R913GZ8H,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,19491.00,SO-004034,,,,PO-0116,direct_purchase
TTSPL7197,R914RLQE,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,19491.00,SO-004034,,,,PO-0116,direct_purchase
TTSPL7199,R913GZBV,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,1.00,SO/26-27/0626,,,,PO-0116,direct_purchase
TTSPL7201,R913GZFL,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,23500.00,SO/26-27/0383,,,,PO-0116,direct_purchase
TTSPL7227,R913GZ7P,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,19491.00,SO/26-27/0709,,,,PO-0116,direct_purchase
TTSPL7262,R913GZ5S,out_stock,,,,,Lenovo,Lenovo Thinkpad L13,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,13-inch,,23500.00,SO/26-27/0383,,,,PO-0116,direct_purchase
TTSPL7327,789B2F3,out_stock,,,,,Dell,Dell Latitude 5420,I5,11TH,16GB,512GB SSD,Intel UHD Graphics,14-inch,,18645.00,SO/26-27/0413,,,,PO-0128,direct_purchase
,8NPSVZ2,out_stock,,,,,Dell,Dell Latitude 3400,I7,8TH,8GB,512GB SSD,Nvidia Geforce MX130,14-inch,,14830.00,SO/26-27/0467,,,,PO-0115,direct_purchase
